latch,threads,run,latency_nanos
monitor,1,0,191299
monitor,1,1,237900
monitor,1,2,201600
monitor,1,3,157700
monitor,1,4,155400
monitor,1,5,126601
monitor,1,6,177700
monitor,1,7,207400
monitor,1,8,178201
monitor,1,9,143701
monitor,1,10,127001
monitor,1,11,151800
monitor,1,12,208700
monitor,1,13,150499
monitor,1,14,167500
monitor,1,15,165800
monitor,1,16,177099
monitor,1,17,138501
monitor,1,18,128600
monitor,1,19,140200
monitor,1,20,160500
monitor,1,21,170700
monitor,1,22,203599
monitor,1,23,144899
monitor,1,24,151100
monitor,1,25,173499
monitor,1,26,275800
monitor,1,27,149300
monitor,1,28,205100
monitor,1,29,205000
monitor,2,0,53200
monitor,2,1,53500
monitor,2,2,32200
monitor,2,3,66599
monitor,2,4,23400
monitor,2,5,59500
monitor,2,6,87500
monitor,2,7,71100
monitor,2,8,58800
monitor,2,9,271499
monitor,2,10,59600
monitor,2,11,52199
monitor,2,12,61300
monitor,2,13,50900
monitor,2,14,50900
monitor,2,15,56400
monitor,2,16,60800
monitor,2,17,61700
monitor,2,18,64600
monitor,2,19,46999
monitor,2,20,34500
monitor,2,21,65000
monitor,2,22,108000
monitor,2,23,32501
monitor,2,24,55799
monitor,2,25,59300
monitor,2,26,45001
monitor,2,27,29101
monitor,2,28,32800
monitor,2,29,48400
monitor,4,0,63900
monitor,4,1,85300
monitor,4,2,92600
monitor,4,3,47700
monitor,4,4,71400
monitor,4,5,89201
monitor,4,6,56300
monitor,4,7,91800
monitor,4,8,71000
monitor,4,9,69901
monitor,4,10,49300
monitor,4,11,41900
monitor,4,12,62099
monitor,4,13,56000
monitor,4,14,63600
monitor,4,15,37600
monitor,4,16,53099
monitor,4,17,42500
monitor,4,18,56099
monitor,4,19,45900
monitor,4,20,93000
monitor,4,21,52200
monitor,4,22,88400
monitor,4,23,105199
monitor,4,24,136199
monitor,4,25,116900
monitor,4,26,65100
monitor,4,27,86900
monitor,4,28,66400
monitor,4,29,71800
monitor,8,0,69200
monitor,8,1,73800
monitor,8,2,73400
monitor,8,3,112000
monitor,8,4,93100
monitor,8,5,97001
monitor,8,6,92500
monitor,8,7,106801
