latch,threads,runs,mean_nanos,stddev_nanos
monitor,1,30,172423.3,34429.44045150092
monitor,2,30,61769.933333333334,43154.14915436037
monitor,4,30,70976.56666666667,23488.524221757565
monitor,8,30,111830.16666666667,24792.36305534057
monitor,16,30,137256.73333333334,47882.064904436236
monitor,32,30,206243.36666666667,82547.13900699545
monitor,64,30,375973.2,181471.01959767757
monitor,128,30,962420.0333333333,390394.09241418523
naive,1,30,30126.833333333332,12723.655953904654
naive,2,30,49983.333333333336,49744.73358875381
naive,4,30,60446.666666666664,12603.08401319606
naive,8,30,131526.43333333332,32391.76835159943
naive,16,30,261829.93333333332,87877.11810953282
naive,32,30,741596.8333333334,202079.54750783482
naive,64,30,1757543.3333333333,514547.51329421886
naive,128,30,3528593.2666666666,635078.4455388134
